ticker,fund_name,initial_date,return_1999,return_2000,return_2001,return_2002,return_2003,return_2004,return_2005,return_2006,return_2007,return_2008,return_2009,return_2010,return_2011,return_2012,return_2013,return_2014,return_2015,return_2016,return_2017,return_2018,return_2019,return_2020,return_2021,return_2022,return_2023,inception_year,count_year_returns,flag_yrs_5,flag_yrs_10,flag_yrs_15,flag_yrs_20,return_5_yrs,return_10_yrs,return_15_yrs,return_20_yrs
FCG,First Trust Natural Gas ETF,2007-05-11,NA,NA,NA,NA,NA,NA,NA,NA,0.12784672521823337,-0.4644070881045163,0.5006956637046762,0.12193217678647984,-0.07205127349561768,-0.13434914951998356,0.24865995991215528,-0.4198589459426979,-0.5906064636290319,0.19524911144293244,-0.1137958823146452,-0.3481168179440113,-0.15756977356703905,-0.231858990831302,0.9848964884182604,0.47240078333052526,0.02547552515238038,2007,17,1,1,1,0,0.1416495743779942,-0.10823573610584858,-0.04058894091154308,NA
FCOM,Fidelity MSCI Communication Services Index ETF,2013-10-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02001583686729047,0.06344377956257552,0.03291082070953344,0.22590200699078444,0.03673538797602327,-0.05325788023438371,0.266927201215859,0.2833135948473522,0.1348439709186493,-0.38967203395289385,0.4466707384229791,2013,11,1,1,0,0,0.10253076176048515,0.0797137493544966,NA,NA
FCPI,Fidelity Stocks for Inflation ETF,2019-11-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04429545831165038,0.02185452722606085,0.34191119724563923,-0.0710545061307436,0.15393827985214317,2019,5,0,0,0,0,NA,NA,NA,NA
FCTR,First Trust Lunt U.S. Factor Rotation ETF,2018-08-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.12086687839883292,0.30904385075626606,0.301755843512866,0.21041384821371367,-0.20414891129847568,0.00426237022358155,2018,6,1,0,0,0,0.10514515445148831,NA,NA,NA
FCUS,Tidal ETF Trust II Pinnacle Focused Opportunities ETF,2022-12-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.2112450854541994,2022,2,0,0,0,0,NA,NA,NA,NA
FDCE,Affinity World Leaders Equity ETF Foundations Dynamic Core ETF,2023-10-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11902413693179126,2023,1,0,0,0,0,NA,NA,NA,NA
FDEC,FT Vest U.S. Equity Buffer ETF - December,2020-12-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01372811517735939,0.1411649583619794,-0.0918189465802769,0.22764488027333707,2020,4,0,0,0,0,NA,NA,NA,NA
FDG,American Century Focused Dynamic Growth ETF,2020-04-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9361229636127152,0.08522958120009938,-0.35744361604206387,0.3722051074736521,2020,4,0,0,0,0,NA,NA,NA,NA
FDGR,Affinity World Leaders Equity ETF Foundations Dynamic Growth E,2023-10-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09100710509309008,2023,1,0,0,0,0,NA,NA,NA,NA
FDIF,Fidelity Disruptors ETF,2023-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0648585327316229,2023,1,0,0,0,0,NA,NA,NA,NA
FDIS,Fidelity MSCI Consumer Discretionary Index ETF,2013-10-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06479882687991112,0.09386067631102656,0.063014802960764,0.06182036776696686,0.22941059146329668,-0.00877421221198826,0.27438248279598976,0.49504843107618934,0.24246010870034307,-0.35231993117036586,0.40480343143364617,2013,11,1,1,0,0,0.16585011566209307,0.12476955305779147,NA,NA
FDIV,MarketDesk Focused U.S. Dividend ETF,2023-09-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07398488250518476,2023,1,0,0,0,0,NA,NA,NA,NA
FDL,First Trust Morningstar ETF,2006-03-15,NA,NA,NA,NA,NA,NA,NA,0.182998137245169,-0.10963860235865652,-0.3107761016010312,0.1343295715597126,0.16127579093306754,0.1440708406076423,0.09087702275824094,0.2267449437765252,0.13203715610009636,0.02628985009251683,0.2073147640328996,0.11999405502807714,-0.05995060822101872,0.24410292709462245,-0.04298205646821274,0.2610052561934326,0.06653989532785243,0.02938978922068691,2006,18,1,1,1,0,0.10512155605744833,0.0930418409948548,0.1119067469018098,NA
FDLO,Fidelity Low Volatility Factor ETF,2016-09-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03549789707361084,0.20440923384170828,-0.00261213264074344,0.31098325455236253,0.12186251850128892,0.23673910902953368,-0.1038392382947858,0.1637994168333834,2016,8,1,0,0,0,0.13662129232876286,NA,NA,NA
FDLS,Northern Lights Fund Trust IV Inspire Fidelis Multi Factor ETF,2022-08-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.01679409887422445,0.2033070876737089,2022,2,0,0,0,0,NA,NA,NA,NA
FDM,First Trust DJ Select MicroCap ETF,2005-09-30,NA,NA,NA,NA,NA,NA,0.02510142297170037,0.15892914728163743,-0.073574997471743675,-0.31918223639238086,0.2004613243497846,0.25573369208939023,-0.08635863518459996,0.15724532646567346,0.4412158762894822,0.03258583527509207,-6.406832560046372e-4,0.35902192606877903,0.08721870338037307,-0.13524053682125525,0.27446298443218553,-0.04039826772629074,0.3507920464132266,-0.11618488711520748,0.12772303982195354,2005,19,1,1,1,0,0.10487748645037964,0.08060187107587158,0.1130693053863725,NA
FDMO,Fidelity Momentum Factor ETF,2016-09-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01880011703970763,0.23930982028310965,-0.04131487983954707,0.25293075863542946,0.21706224114413608,0.22233629116173192,-0.1932128273400503,0.24788341264763947,2016,8,1,0,0,0,0.1341557854654667,NA,NA,NA
FDN,First Trust DJ Internet Index Fund,2006-06-23,NA,NA,NA,NA,NA,NA,NA,0.1003897169686001,0.11293188788380526,-0.44029381551902824,0.791161658600974,0.3672320559666899,-0.05823132254014851,0.20650161427835312,0.5360533419370399,0.02439022835927229,0.2167319142476953,0.06996382761024789,0.3764248369423629,0.06170373660507633,0.19252520786927607,0.5255175616471772,0.06549502631625304,-0.4554017650612133,0.5148193320367596,2006,18,1,1,1,0,0.09843573943118211,0.1203813073314206,0.1884135652719865,NA
FDRR,Fidelity Dividend ETF for Rising Rates,2016-09-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05545418858268913,0.19292961582595303,-0.03595042706068452,0.2686252147831725,0.08234829805347421,0.26056982508068405,-0.10469200843110592,0.1365616533961711,2016,8,1,0,0,0,0.11986726259799707,NA,NA,NA
FDTB,Affinity World Leaders Equity ETF Foundations Dynamic Income E,2023-10-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02652891905361509,2023,1,0,0,0,0,NA,NA,NA,NA
FDV,Federated Hermes ETF Trust Federated Hermes U.S. Strategic Div,2022-11-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01919124652393056,-0.02151771708933869,2022,2,0,0,0,0,NA,NA,NA,NA
FDVL,Affinity World Leaders Equity ETF Foundations Dynamic Value ET,2023-10-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08244535722787694,2023,1,0,0,0,0,NA,NA,NA,NA
FDVV,Fidelity High Dividend ETF,2016-09-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05055013822885623,0.13959302738552304,-0.01258330224434167,0.24070784454606375,0.02798602927402971,0.2924121404540132,-0.04210103567311718,0.1800084853266133,2016,8,1,0,0,0,0.13253731654927847,NA,NA,NA
FDWM,Fidelity Women's Leadership ETF,2021-06-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05374452830678544,-0.1896266844660922,0.22791904874248337,2021,3,0,0,0,0,NA,NA,NA,NA
